Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
Residential homes,Thursday Week 2,Trowbridge,The Homestead,"The Homestead, Trowbridge",2019-02-14,Thursday,4,09:15,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Friday Week 1,Trowbridge,Trowbridge Oaks,"Trowbridge Oaks, Trowbridge",2019-02-08,Friday,4,09:10,09:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Friday Week 4,Trowbridge,Weavers Drive,"Weavers Drive, Trowbridge",2019-02-01,Friday,4,14:00,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/113
Residential homes,Friday Week 1,Trowbridge,Wingfield Lodge and,"Wingfield Lodge and, Trowbridge",2019-02-08,Friday,4,12:45,13:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
South,Monday Week 3,Upavon,Fairfield,"Fairfield, Upavon",2019-02-18,Monday,4,10:00,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Monday Week 3,Upavon,Nursery,"Nursery, Upavon",2019-02-18,Monday,4,10:35,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
North,Tuesday Week 1,Upper Minety,Hovington Leaze,"Hovington Leaze, Upper Minety",2019-02-05,Tuesday,4,13:15,13:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Friday Week 1,Upper Seagry,Recreation Ground,"Recreation Ground, Upper Seagry",2019-02-08,Friday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Wednesday Week 1,Upper Wraxall,The Green,"The Green, Upper Wraxall",2019-02-06,Wednesday,4,16:00,16:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 3,Upper Wraxall,The Green,"The Green, Upper Wraxall",2019-02-20,Wednesday,4,16:00,16:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Friday Week 4,Upton Lovell,14a The Bungalow,"14a The Bungalow, Upton Lovell",2019-02-01,Friday,4,14:20,14:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Thursday Week 2,Urchfont,The Croft,"The Croft, Urchfont",2019-02-14,Thursday,4,14:10,14:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 2,Urchfont,The Green,"The Green, Urchfont",2019-02-14,Thursday,4,14:45,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 4,Urchfont,The Green,"The Green, Urchfont",2019-01-31,Thursday,4,14:45,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
North,Saturday Week 4,Wadswick,Wadswick Green,"Wadswick Green, Wadswick",2019-02-02,Saturday,4,13:30,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
Residential homes,Thursday Week 1,Warminster,Fleurs Court,"Fleurs Court, Warminster",2019-02-07,Thursday,4,14:00,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/91
Residential homes,Friday Week 3,Warminster,Frederick Taylor Court,"Frederick Taylor Court, Warminster",2019-02-22,Friday,4,13:20,13:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
North,Thursday Week 2,Wedhampton,22-23 High Street,"22-23 High Street, Wedhampton",2019-02-14,Thursday,4,11:35,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 3,West Ashton,Orchard Close,"Orchard Close, West Ashton",2019-02-21,Thursday,4,15:30,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Thursday Week 1,West Dean,Village Hall,"Village Hall, West Dean",2019-02-07,Thursday,4,14:45,15:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Thursday Week 1,West Grimstead,Greenfields,"Greenfields, West Grimstead",2019-02-07,Thursday,4,15:20,15:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Thursday Week 1,West Grimstead,Recreation Ground,"Recreation Ground, West Grimstead",2019-02-07,Thursday,4,15:40,15:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 1,West Harnham,Berkshire Road,"Berkshire Road, West Harnham",2019-02-09,Saturday,4,14:10,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Wednesday Week 4,West Lavington,School,"School, West Lavington",2019-01-30,Wednesday,4,11:00,11:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Tuesday Week 3,West Overton,Peacocks,"Peacocks, West Overton",2019-02-19,Tuesday,4,11:25,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
Residential homes,Friday Week 3,Westbury,Bell Orchard,"Bell Orchard, Westbury",2019-02-22,Friday,4,10:15,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
Residential homes,Friday Week 3,Westbury,Chantry Court,"Chantry Court, Westbury",2019-02-22,Friday,4,11:30,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
Residential homes,Friday Week 3,Westbury,Watersmead,"Watersmead, Westbury",2019-02-22,Friday,4,09:50,10:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
Residential homes,Friday Week 3,Westbury,Westbury Court,"Westbury Court, Westbury",2019-02-22,Friday,4,10:40,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
South,Thursday Week 1,Whiteparish,Ashmore Close,"Ashmore Close, Whiteparish",2019-02-07,Thursday,4,10:35,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 4,Whiteparish,Ashmore Close,"Ashmore Close, Whiteparish",2019-02-02,Saturday,4,12:05,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
South,Thursday Week 1,Whiteparish,School,"School, Whiteparish",2019-02-07,Thursday,4,11:10,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
North,Tuesday Week 2,Whitley,Reading Rooms,"Reading Rooms, Whitley",2019-02-12,Tuesday,4,11:15,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
South,Monday Week 1,Wilsford,Outside Lamberts,"Outside Lamberts, Wilsford",2019-02-04,Monday,4,10:45,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
Residential homes,Wednesday Week 1,Wilton,Downside,"Downside, Wilton",2019-02-06,Wednesday,4,10:20,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/90
North,Thursday Week 3,Wingfield,The Poplars Inn,"The Poplars Inn, Wingfield",2019-02-21,Thursday,4,13:30,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Thursday Week 3,Winsley,Avonpark Retirement Village,"Avonpark Retirement Village, Winsley",2019-02-21,Thursday,4,10:40,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Thursday Week 3,Winsley,School,"School, Winsley",2019-02-21,Thursday,4,11:20,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
South,Friday Week 1,Winterbourne Earls,Earls Manor Court,"Earls Manor Court, Winterbourne Earls",2019-02-08,Friday,4,14:00,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,Winterbourne Earls,Earls Manor Court,"Earls Manor Court, Winterbourne Earls",2019-02-22,Friday,4,14:00,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Friday Week 1,Winterbourne Earls,Glebe Hall,"Glebe Hall, Winterbourne Earls",2019-02-08,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,Winterbourne Earls,Glebe Hall,"Glebe Hall, Winterbourne Earls",2019-02-22,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Tuesday Week 1,Winterslow,Village Hall,"Village Hall, Winterslow",2019-02-05,Tuesday,4,13:30,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Tuesday Week 3,Winterslow,Village Hall,"Village Hall, Winterslow",2019-02-19,Tuesday,4,13:30,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Monday Week 1,Woodborough,Church,"Church, Woodborough",2019-02-04,Monday,4,14:25,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
South,Monday Week 3,Woodborough,Church,"Church, Woodborough",2019-02-18,Monday,4,14:25,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Monday Week 1,Woodborough,Social Club Car Park,"Social Club Car Park, Woodborough",2019-02-04,Monday,4,14:55,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
South,Monday Week 3,Woodborough,Social Club Car Park,"Social Club Car Park, Woodborough",2019-02-18,Monday,4,14:55,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Saturday Week 3,Woodfalls,Opposite Post Office,"Opposite Post Office, Woodfalls",2019-02-23,Saturday,4,13:25,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
Residential homes,Tuesday Week 1,Wootton Bassett,Bassett House,"Bassett House, Wootton Bassett",2019-02-05,Tuesday,4,13:30,13:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/89
Residential homes,Tuesday Week 1,Wootton Bassett,Dairy View,"Dairy View, Wootton Bassett",2019-02-05,Tuesday,4,14:00,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/89
North,Monday Week 1,Worton,The School,"The School, Worton",2019-02-04,Monday,4,13:10,13:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Friday Week 4,Wylye,The Bell Pub,"The Bell Pub, Wylye",2019-02-01,Friday,4,14:55,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Monday Week 3,Yatesbury,The Lymers,"The Lymers, Yatesbury",2019-02-18,Monday,4,11:45,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Wednesday Week 3,Yatton Keynell,Village Hall,"Village Hall, Yatton Keynell",2019-02-20,Wednesday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Thursday Week 2,Zeals,43 Zeals Rise,"43 Zeals Rise, Zeals",2019-02-14,Thursday,4,10:45,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Zeals,43 Zeals Rise,"43 Zeals Rise, Zeals",2019-01-31,Thursday,4,10:45,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
South,Thursday Week 2,Zeals,School,"School, Zeals",2019-02-14,Thursday,4,10:10,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/42
South,Thursday Week 4,Zeals,School,"School, Zeals",2019-01-31,Thursday,4,10:00,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/56
